frase;situacao
dor no peito insuportavel que irradia para o braco esquerdo;alto risco
falta de ar repentina mesmo em repouso total;alto risco
pressao arterial muito elevada acima de dezoito por onze;alto risco
sensacao de desmaio iminente com suor frio e palidez;alto risco
dor aguda no peito que sobe para a mandibula e pescoco;alto risco
batimentos cardiacos muito acelerados acima de cento e cinquenta;alto risco
perda sudita de consciencia e labios arroxeados;alto risco
sensacao de peso no peito como se houvesse um elefante em cima;alto risco
dor toracica sudita acompanhada de confusao mental;alto risco
inchaco repentino nas duas pernas com muita dificuldade de respirar;alto risco
tosse com sangue e dor forte nas costas ao respirar;alto risco
palpitacao forte no peito seguida de tontura extrema;alto risco
dor no peito que piora ao fazer qualquer esforco minimo;alto risco
pressao no peito constante que nao passa com repouso;alto risco
batimento cardiaco muito lento e sensacao de morte iminente;alto risco
choque no peito que desce para o braco e pontas dos dedos;alto risco
dor no peito tipo queimacao que irradia para as escapulas;alto risco
visao escurecendo e dor forte atras do osso do peito;alto risco
falta de ar intensa que impede de completar uma frase;alto risco
ritmo cardiaco totalmente irregular e falta de ar sudita;alto risco
dor no peito com nausea persistente e vomito;alto risco
sensacao de aperto no torax e formigamento no rosto;alto risco
dor forte no peito que comecou durante o sono;alto risco
pressao arterial marcando vinte por doze e muita dor de cabeca;alto risco
cansaco extremo impossibilitando de caminhar ate o banheiro;alto risco
pulsacao fraca e pele muito fria e pegajosa;alto risco
pontada violenta no coracao com falta de ar aguda;alto risco
dor toracica que parece um rasgo dentro do peito;alto risco
desconforto no peito que aumenta rapidamente de intensidade;alto risco
sensacao de sufocamento com coracao batendo descompassado;alto risco
perda de forca em um lado do corpo e dor no peito;alto risco
dor no peito que irradia para o abdomen superior;alto risco
coracao disparado e sensacao de desmaio ao levantar;alto risco
angustia respiratoria grave com dor no centro do peito;alto risco
dor no peito persistente apos uso de medicacao sublingual;alto risco
suor excessivo e frio sem motivo aparente com dor toracica;alto risco
dor aguda no peito que impossibilita respirar fundo;alto risco
sensacao de que o coracao vai parar a qualquer momento;alto risco
pressao arterial descontrolada com visao turva e dor no peito;alto risco
dor no peito que piora muito quando eu me deito;alto risco
batimento cardiaco audivel e muito rapido com falta de ar;alto risco
dor no peito acompanhada de extremidades azuladas;alto risco
fraqueza sudita nas pernas e palpitacao intensa;alto risco
dor no torax que irradia para ambos os bracos;alto risco
sensacao de entalo na garganta e aperto forte no peito;alto risco
tontura rotatoria intensa e dor sudita no coracao;alto risco
incomodo no peito que gera suor frio na testa;alto risco
dor retroesternal em aperto com duracao maior que dez minutos;alto risco
insuficiencia respiratoria aguda com dor no peito;alto risco
dor no peito que se espalha para os dentes e mandibula;alto risco
sinto um leve desconforto no peito apos comer muito;baixo risco
meu coracao acelera um pouco quando tomo muito cafe;baixo risco
tive uma pontada rapida no peito que durou dois segundos;baixo risco
sinto uma dor muscular no peito se eu apertar com o dedo;baixo risco
estou com uma queimacao leve no peito apos refluxo;baixo risco
meu coracao bateu um pouco mais forte depois de subir a escada;baixo risco
sinto um cansaco leve ao final do dia de trabalho;baixo risco
minha pressao esta doze por oito e me sinto bem;baixo risco
tive uma tontura rapida ao levantar muito depressa da cadeira;baixo risco
percebi um inchaco leve nos pes apos passar o dia em pe;baixo risco
sinto uma fisgada no peito quando eu me espreguico;baixo risco
estou com uma dor de cabeca leve que melhora com repouso;baixo risco
meu batimento esta normal mas sinto um pouco de ansiedade;baixo risco
senti um mal estar passageiro mas ja estou recuperado;baixo risco
estou com uma tosse seca ha tres dias sem dor no peito;baixo risco
sinto um incomodo leve no torax que muda quando eu me viro;baixo risco
minha pressao marcou treze por nove hoje de manha;baixo risco
sinto palpitacoes leves quando estou muito estressado;baixo risco
tive um soluco persistente mas sem nenhuma dor associada;baixo risco
sinto um peso nas pernas mas consigo caminhar normalmente;baixo risco
estou com um pouco de falta de ar devido ao nariz entupido;baixo risco
senti uma pontada no peito depois de carregar uma mochila pesada;baixo risco
meu coracao parece pular uma batida as vezes mas nao doi;baixo risco
estou com uma leve queimacao no estomago apos jantar gordura;baixo risco
me sinto um pouco ofegante por causa do calor excessivo;baixo risco
sinto um desconforto no peito que some quando eu arroto;baixo risco
minha pulsacao esta em oitenta batimentos por minuto;baixo risco
tive uma leve dor no peito apos tossir muito por gripe;baixo risco
sinto uma pressao leve no peito se eu ficar muito tempo curvado;baixo risco
estou com os tornozelos um pouco inchados por causa do calor;baixo risco
senti uma vibracao estranha no peito mas sem dor alguma;baixo risco
meu batimento cardiaco aumenta quando eu comeco a correr;baixo risco
estou com uma dor muscular nas costas perto do coracao;baixo risco
sinto um pouco de tontura se fico muito tempo sem comer;baixo risco
minha pressao arterial esta estavel em onze por sete;baixo risco
tive um susto e meu coracao acelerou por um minuto;baixo risco
sinto uma dor fina no peito que passa quando eu respiro fundo;baixo risco
me sinto um pouco mais cansado mas dormi poucas horas hoje;baixo risco
estou com uma leve pontada no torax que vai e vem;baixo risco
senti o coracao bater no pescoco apos fazer ginastica;baixo risco
estou com um pouco de azia que parece dor no peito;baixo risco
minhas maos tremem um pouco quando tomo energetico;baixo risco
sinto um desconforto leve no peito que dura poucos segundos;baixo risco
meu coracao esta normal mas sinto uma leve opressao;baixo risco
tive uma dor no peito rapida que parou apos eu sentar;baixo risco
estou com as pernas um pouco pesadas ao final da tarde;baixo risco
sinto uma pontada no peito quando dou risada muito forte;baixo risco
meu batimento cardiaco esta em setenta e cinco em repouso;baixo risco
estou com um leve incomodo no peito por causa de gases;baixo risco
sinto o peito um pouco sensivel apos um treino de academia;baixo risco
