Sintoma1,Sintoma2,Sintoma3,DoencaAssociada
dor no peito,aperto no torax,dor ao esforco,Infarto Agudo do Miocardio
cansaco constante,fadiga,pernas inchadas,Insuficiencia Cardiaca
falta de ar,dificuldade para respirar,falta de ar ao deitar,Insuficiencia Cardiaca Congestiva
dor de cabeca,pressao alta,visao embaçada,Hipertensao Arterial Sistemica
dormencia no braco,dor irradia para o pescoco,suor frio,Infarto Agudo do Miocardio
palpitacoes,coracao dispara,sensacao de desmaio,Arritmia Cardiaca
tornozelos inchados,pes inchados,edema,Insuficiencia Cardiaca
nausea,suor excessivo,dor em queimacao,Angina Pectoris
fadiga intensa,ganho de peso,pressao acima de 160,Hipertensao Arterial Cronica
formigamento,dor na nuca,visao turva,Crise Hipertensiva
tontura,vertigem,desequilibrio,Acidente Vascular Cerebral
dor no peito em repouso,falta de ar subita,sudorese,Sindrome Coronariana Aguda
inchaço nas pernas,cansaco ao caminhar,dor no peito,Doenca Arterial Coronariana
dor de cabeca intensa,confusao mental,perda de forca,Hemorragia Encefalica
falta de ar ao esforco,tosse noturna,cansaco,Insuficiencia Cardiaca
pressao alta,zumbido no ouvido,dor de cabeca,Hipertensao Arterial Sistemica
dor no peito,falta de ar,tontura,Angina Instavel
palpitacoes,ansiedade,tremores,Arritmia Cardiaca
edema,ganho de peso rapido,dispneia,Insuficiencia Cardiaca Congestiva
dor no peito,dormencia no braco esquerdo,mal estar,Infarto Agudo do Miocardio
visao embaçada,sangramento nasal,dor de cabeca,Crise Hipertensiva
cansaco extremo,fraqueza muscular,dor no peito,Cardiomiopatia
falta de ar,dor no peito ao respirar,tosse,Embolia Pulmonar
pressao alta,insonia,estresse,Hipertensao Arterial Sistemica
dor no peito,suor frio,nausea,Infarto Agudo do Miocardio
